sample_id,relative_pose_source,base_ref_source,weight,before_translation_error_m,before_rotation_error_rad,after_translation_error_m,after_rotation_error_rad,improved_translation_m,improved_rotation_rad
P0001,same_frame,live,1.0,0.0057890058809896925,0.04109257186886733,0.004723470198493708,0.03740142706700289,0.0010655356824959845,0.0036911448018644363
P0002,same_frame,live,1.0,0.005035009544189335,0.027972085911446853,0.0035401739993135214,0.027916740091055554,0.0014948355448758137,5.5345820391298345e-05
P0003,same_frame,live,1.0,0.0032580185754006235,0.016725949977917143,0.0023508674856879837,0.027592451231960875,0.0009071510897126398,-0.010866501254043731
P0004,same_frame,live,1.0,0.004320412303190042,0.0303570582659603,0.002726880397011936,0.01874888765594947,0.0015935319061781057,0.011608170610010831
P0005,same_frame,live,1.0,0.007715649025254963,0.03671496036162823,0.007440119761338214,0.013113281872728777,0.00027552926391674875,0.023601678488899457
P0006,same_frame,live,1.0,0.002421637526877958,0.027916591017849456,0.0033531590999728972,0.04355420472887695,-0.0009315215730949394,-0.015637613711027495
P0007,same_frame,live,1.0,0.006302751483535289,0.037047756892248394,0.006119201637818091,0.026661353232956448,0.00018354984571719753,0.010386403659291946
P0009,same_frame,live,1.0,0.0013822699034732933,0.021281138738101772,0.0007514526223597937,0.020618543413127306,0.0006308172811134997,0.0006625953249744659
P0010,same_frame,live,1.0,0.0024105446530894308,0.03418492360082316,0.0019057440709134895,0.011388479316737886,0.0005048005821759413,0.022796444284085275
P0011,same_frame,live,1.0,0.0041135271483359595,0.03108449289326378,0.003544793481605073,0.026713080265684374,0.0005687336667308863,0.004371412627579407
P0012,same_frame,live,1.0,0.00735641286343636,0.039211836248841045,0.0063282024157311,0.025711663441217964,0.00102821044770526,0.01350017280762308
P0013,same_frame,live,1.0,0.0035408411790386913,0.07613462894173328,0.0022931686167707004,0.0740239968047944,0.0012476725622679909,0.002110632136938878
P0014,same_frame,live,1.0,0.007265308429893417,0.04033872945938197,0.006103171319800871,0.035833989692246035,0.001162137110092546,0.004504739767135932
P0015,same_frame,live,1.0,0.0015662229820686518,0.006108140586564339,0.002310403060142431,0.01739274901275836,-0.0007441800780737791,-0.011284608426194019
P0016,same_frame,live,1.0,0.0023763053886168444,0.026001445765176715,0.0014199256483705585,0.03925514807928325,0.000956379740246286,-0.013253702314106535
P0017,same_frame,live,1.0,0.0017962523842566089,0.018144572439923186,0.0015344698653599698,0.030890173794088076,0.0002617825188966391,-0.01274560135416489
P0018,same_frame,live,1.0,0.009912467560143677,0.03147191931139657,0.010957473839763502,0.029750662054378273,-0.001045006279619825,0.0017212572570182959
P0019,same_frame,live,1.0,0.002405774007490216,0.010435084673262688,0.004425749548304295,0.014262996362356407,-0.0020199755408140787,-0.0038279116890937194
P0020,same_frame,live,1.0,0.007985947488743733,0.04990301801020365,0.00628648335378301,0.03246260079157387,0.0016994641349607235,0.01744041721862978
P0022,cached_base_ref,cached,0.5,0.003264921023855854,0.030725105537027616,0.003124148464718512,0.016323157861115888,0.00014077255913734184,0.014401947675911728
P0023,same_frame,live,1.0,0.005492955371912663,0.02596515186840195,0.003628494322355431,0.008828408036981641,0.001864461049557232,0.01713674383142031
P0024,same_frame,live,1.0,0.0036527866434802984,0.021864373944643987,0.0034486951180578455,0.017544003713934143,0.00020409152542245294,0.004320370230709844
P0025,same_frame,live,1.0,0.005810491787316063,0.009485672709084425,0.0036285546243027865,0.016281091671896626,0.0021819371630132766,-0.006795418962812201
P0026,same_frame,live,1.0,0.0035932380310090294,0.026905510178154454,0.0027136470917551755,0.00633943117016481,0.0008795909392538539,0.020566079007989645
P0027,cached_base_ref,cached,0.5,0.004701164149619785,0.035967758251419485,0.00336690783812198,0.016775694878929638,0.0013342563114978052,0.019192063372489847
P0028,cached_base_ref,cached,0.5,0.005635818410251223,0.04432871922910326,0.0042060273017035235,0.020774532492698575,0.0014297911085476992,0.023554186736404685
P0029,same_frame,live,1.0,0.003430650246464998,0.015380822292994952,0.0028792313998848647,0.014892544618586974,0.0005514188465801334,0.0004882776744079779
P0030,same_frame,live,1.0,0.006923735274177856,0.04059532927967474,0.0033597591962606635,0.015737000102787252,0.0035639760779171926,0.02485832917688749
P0031,same_frame,live,1.0,0.003447664879724702,0.017484193022759588,0.0012515916842661214,0.010913008656310804,0.0021960731954585805,0.0065711843664487835
P0032,same_frame,live,1.0,0.006299445984501192,0.024175001626541175,0.0023214727839204544,0.01666808911785956,0.003977973200580738,0.007506912508681615
P0033,same_frame,live,1.0,0.006309233735840174,0.04049952297557115,0.001653648567571716,0.01553355163296365,0.0046555851682684585,0.024965971342607498
P0034,same_frame,live,1.0,0.0032417273758801844,0.02394366717577098,0.001132522665032639,0.006773529940820221,0.0021092047108475457,0.01717013723495076
P0035,same_frame,live,1.0,0.009201463949783318,0.026234971079153943,0.003767519794932706,0.014480803683277659,0.005433944154850612,0.011754167395876284
P0036,same_frame,live,1.0,0.00953501127755826,0.024898111137191696,0.003524130373032449,0.010325205760343077,0.006010880904525812,0.014572905376848619
P0037,same_frame,live,1.0,0.00205379470878253,0.04584373809470642,0.0033225119501501185,0.03853697473973651,-0.0012687172413675886,0.0073067633549699085
P0038,same_frame,live,1.0,0.0031563343229425362,0.019238199299088675,0.0026781300038722605,0.015413808096406231,0.0004782043190702757,0.0038243912026824436
P0039,same_frame,live,1.0,0.003098032528946117,0.05705147745161678,0.0019980005217190406,0.027431720455629655,0.0011000320072270765,0.029619756995987127
P0040,same_frame,live,1.0,0.007521392980760192,0.04412318354380062,0.002503854644555494,0.034363864289973255,0.005017538336204698,0.009759319253827364
P0041,cached_base_ref,cached,0.5,0.004064248589305825,0.030973876270606986,0.0011735381007785817,0.024169276805751184,0.0028907104885272433,0.006804599464855801
P0042,cached_base_ref,cached,0.5,0.007013660346109078,0.04530135866783325,0.003218170821204185,0.024154254919788627,0.0037954895249048925,0.02114710374804462
P0043,cached_base_ref,cached,0.5,0.01182369552718776,0.07605025243859671,0.008047183439676489,0.04168724586028999,0.0037765120875112718,0.03436300657830672
P0044,cached_base_ref,cached,0.5,0.005249409250238841,0.05324671280970863,0.0015628275615293217,0.027990349506288825,0.0036865816887095195,0.025256363303419804
P0045,cached_base_ref,cached,0.5,0.005389715977405572,0.030696559900236554,0.003621560939239382,0.014881805017898085,0.0017681550381661902,0.015814754882338466
P0046,cached_base_ref,cached,0.5,0.005520451616381592,0.026563016952486657,0.004306111492681733,0.018018806846419808,0.001214340123699859,0.00854421010606685
P0047,cached_base_ref,cached,0.5,0.005304396525114008,0.04822470517732011,0.0030974531364386213,0.019653134675645938,0.002206943388675387,0.028571570501674172
P0048,cached_base_ref,cached,0.5,0.014249221425038667,0.10079892884489491,0.00438679342969155,0.02446150854929998,0.009862427995347117,0.07633742029559493
P0049,same_frame,live,1.0,0.006868889853695676,0.07559685187315243,0.006200178635996489,0.07845396953891282,0.0006687112176991875,-0.0028571176657603836
P0050,same_frame,live,1.0,0.004726291976501004,0.0279438746184328,0.0026610234494896653,0.01566903412950128,0.0020652685270113385,0.012274840488931519
P0051,same_frame,live,1.0,0.002385184535689428,0.019112581372894184,0.0013382004525346117,0.009722422809042496,0.0010469840831548163,0.009390158563851688
P0052,same_frame,live,1.0,0.006148749140443435,0.022587145754021872,0.0049669328443042995,0.015238639979195891,0.0011818162961391354,0.007348505774825981
P0053,same_frame,live,1.0,0.0025617603356892955,0.022600203653669923,0.003147657529953402,0.018975444015498475,-0.0005858971942641063,0.003624759638171448
P0054,cached_base_ref,cached,0.5,0.005995854407714652,0.03835307991463379,0.0023234511430629723,0.02010185098888663,0.0036724032646516798,0.01825122892574716
P0055,cached_base_ref,cached,0.5,0.005375336350446549,0.05203684520455414,0.0014763595319753338,0.0201699134517936,0.0038989768184712155,0.03186693175276054
P0056,cached_base_ref,cached,0.5,0.014524647131377631,0.13693190518318873,0.0034308226544751555,0.08742962233583762,0.011093824476902475,0.049502282847351115
P0057,cached_base_ref,cached,0.5,0.010633557367777545,0.08077463909099904,0.0034618767121221616,0.042168655490070726,0.007171680655655383,0.03860598360092831
P0058,same_frame,live,1.0,0.002931925466711775,0.02847269860345054,0.0011966885114271164,0.012592233729357256,0.0017352369552846585,0.015880464874093284
P0059,same_frame,live,1.0,0.0016516938597862317,0.01994179413139434,0.0016537863958438499,0.019996112160006806,-2.0925360576181957e-06,-5.431802861246768e-05
P0060,same_frame,live,1.0,0.007543891970285757,0.027916444773423626,0.001914560665437256,0.02599258218211595,0.005629331304848501,0.0019238625913076748
P0061,cached_base_ref,cached,0.5,0.007117048507724277,0.029358484074513875,0.003349162502024023,0.019761848913065098,0.0037678860057002534,0.009596635161448777
P0062,same_frame,live,1.0,0.01063763370103851,0.035079139925015684,0.0029675803875863225,0.010163275052526732,0.007670053313452188,0.024915864872488952
P0063,cached_base_ref,cached,0.5,0.009601038134892574,0.03006168001330418,0.0024991928447636222,0.014888858340218044,0.007101845290128951,0.015172821673086137
P0064,same_frame,live,1.0,0.004712887547631899,0.0284565060509549,0.0025564287675267456,0.014071488844672403,0.002156458780105153,0.014385017206282496
P0065,same_frame,live,1.0,0.008550432278941814,0.02834836427981633,0.002717173864753116,0.021967977942611867,0.005833258414188698,0.006380386337204464
P0066,same_frame,live,1.0,0.010433756452959329,0.02987907036834231,0.004820976089363881,0.016539191247709032,0.0056127803635954475,0.013339879120633277
P0067,same_frame,live,1.0,0.003156160033507937,0.018008156002263815,0.001994424592608884,0.015218023315198666,0.001161735440899053,0.0027901326870651486
P0068,same_frame,live,1.0,0.004292433989438482,0.016279366360174217,0.0018301972062288328,0.014675130681459932,0.0024622367832096486,0.0016042356787142852
P0069,same_frame,live,1.0,0.004937031475936708,0.03033597284100863,0.003593866724474388,0.027545147699101866,0.0013431647514623203,0.0027908251419067644
P0070,cached_base_ref,cached,0.5,0.006128112197014819,0.031064157512737285,0.004515188600179133,0.023472394156064662,0.0016129235968356864,0.007591763356672623
P0071,same_frame,live,1.0,0.005023482549847356,0.02744669952000263,0.0013220038138191533,0.019106656971778154,0.003701478736028203,0.008340042548224475
P0072,same_frame,live,1.0,0.00666658679558182,0.033984451598878564,0.0035153760277661524,0.031767681419215765,0.003151210767815668,0.0022167701796627984
P0073,same_frame,live,1.0,0.00448496143440447,0.01586317516406492,0.0037675177411697312,0.00636084457374666,0.0007174436932347386,0.009502330590318263
P0074,same_frame,live,1.0,0.004622422124712973,0.029580478319880445,0.0031253305406397838,0.030495256963307796,0.001497091584073189,-0.0009147786434273511
P0075,same_frame,live,1.0,0.005552392774908858,0.022981991139258095,0.004148201325341527,0.011603820292341933,0.0014041914495673312,0.011378170846916162
P0076,same_frame,live,1.0,0.0017294535220688228,0.015144118982083501,0.0033507109319310426,0.011262971729924852,-0.0016212574098622198,0.0038811472521586496
P0077,same_frame,live,1.0,0.004856376546206776,0.05078612380283794,0.0038480119845843304,0.015925466432053337,0.0010083645616224455,0.0348606573707846
P0078,same_frame,live,1.0,0.003700739210929657,0.02056470817646305,0.0003891908579264609,0.01689392297331104,0.003311548353003196,0.0036707852031520084
P0079,cached_base_ref,cached,0.5,0.00954905257422216,0.029224824596474817,0.005103564239699701,0.017200791489374177,0.004445488334522459,0.01202403310710064
P0080,same_frame,live,1.0,0.00906864561655956,0.025254489477493255,0.0030039783219152428,0.02294674861954959,0.006064667294644318,0.002307740857943663
P0081,cached_base_ref,cached,0.5,0.009005138188929243,0.038100064728255875,0.004179360518843277,0.0182861924492901,0.004825777670085966,0.019813872278965774
P0082,same_frame,live,1.0,0.00423047603862201,0.01231896042803485,0.003111209788464284,0.00712811100263442,0.0011192662501577255,0.005190849425400429
P0083,same_frame,live,1.0,0.0041632031415498915,0.02213246130797219,0.003709460144908847,0.014495709822276857,0.00045374299664104447,0.007636751485695332
P0084,same_frame,live,1.0,0.003291396908992111,0.011759853468824355,0.002552362131300088,0.0029094985943594696,0.0007390347776920232,0.008850354874464885
P0085,same_frame,live,1.0,0.005430502557548739,0.02291620256708984,0.005033638165594104,0.01245222388963493,0.0003968643919546348,0.01046397867745491
P0086,same_frame,live,1.0,0.009643642788392057,0.06492127791768905,0.0038012908100328213,0.031877722546887526,0.0058423519783592365,0.033043555370801524
P0087,same_frame,live,1.0,0.009113896897939709,0.0723745095494071,0.004799898990699447,0.03790732502683428,0.004313997907240261,0.03446718452257282
P0088,same_frame,live,1.0,0.013863079853626592,0.10924844517154561,0.006068419882845313,0.047132955799568776,0.007794659970781279,0.062115489371976834
P0089,same_frame,live,1.0,0.005056351320241438,0.028505960684784733,0.0026460390360757767,0.01229107162529526,0.0024103122841656614,0.016214889059489472
P0090,same_frame,live,1.0,0.0028091346993789753,0.020771621681243812,0.0016936433015947864,0.01904257532283284,0.001115491397784189,0.0017290463584109725
P0091,same_frame,live,1.0,0.0020130687923520492,0.022884889624697057,0.002955362112250698,0.02175643177744478,-0.0009422933198986487,0.0011284578472522781
P0092,same_frame,live,1.0,0.0026802453327257015,0.01959178108834043,0.0008885593254621396,0.016501369750658097,0.001791686007263562,0.0030904113376823347
P0093,same_frame,live,1.0,0.0034467399569074186,0.020939294592398374,0.0013269033186772965,0.017922738299592213,0.0021198366382301223,0.0030165562928061614
P0094,cached_base_ref,cached,0.5,0.0045062051180274395,0.026264682287511318,0.003385630170601099,0.009312356028833685,0.0011205749474263406,0.01695232625867763
P0095,cached_base_ref,cached,0.5,0.005080914582203064,0.030579631278336523,0.002450084223425547,0.012408074219973753,0.002630830358777517,0.01817155705836277
P0096,cached_base_ref,cached,0.5,0.011950133422194895,0.0641867667318942,0.007661106650482229,0.04338528821064529,0.0042890267717126665,0.020801478521248917
P0097,same_frame,live,1.0,0.01145884182081854,0.0775862815866713,0.011158306816319633,0.07510198804333727,0.00030053500449890753,0.002484293543334029
P0098,same_frame,live,1.0,0.0009546469872806341,0.010732190850737932,0.0023517531614725895,0.007755618600486775,-0.0013971061741919555,0.0029765722502511577
P0099,same_frame,live,1.0,0.0046465741445015545,0.03932879548517782,0.0026217565091954066,0.04647141136967727,0.002024817635306148,-0.007142615884499451
P0100,same_frame,live,1.0,0.0019770863533630366,0.007849209762229345,0.0014599156636325866,0.006053841613909928,0.00051717068973045,0.001795368148319417
